Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
tennisball,805,obj,F1,(court & tennisracket) | (racket & tenniscourt) | (racket & tennisracket) | (tenniscourt & tennisracket) | (tennisplayer & tennisracket),(tenniscourt | tennisracket) & (racket | tennisracket) & (tennisplayer | court | tenniscourt | racket),0.4942,0.3649,0.7652,616,1688,805,104773,34,3270,0.9996755942
counter,3724,obj,F1,(kitchen) | (sink) | (stove),sink | kitchen | stove,0.4934,0.4539,0.5405,2013,4435,3724,101931,1711,4435,0.9834912487
cat,2821,obj,F1,(hair's-breadth) | (paw),hair's-breadth | paw,0.4916,0.4955,0.4878,1376,2777,2821,103855,1445,2777,0.9862773029
frosting,655,obj,F1,(cake & cocoa) | (cake & frost) | (cake & scattering) | (cocoa & doughnut) | (doughnut & scattering) | (frost & scattering),(doughnut & cocoa) | (doughnut & scattering) | (cocoa & cake) | (cake & frost) | (cake & scattering) | (frost & scattering),0.4915,0.417,0.5985,392,940,655,105508,31,2538,0.9997062697
mound,596,obj,F1,(baseball & pitcher) | (flip & hold) | (flip & pitcher) | (flip & umpire) | (hold & pitcher) | (pitcher & umpire),(pitcher | flip) & (umpire | pitcher | hold) & (baseball | umpire | hold | flip),0.4915,0.6039,0.4144,247,409,596,104549,254,3274,0.9975764053
wii,426,obj,F1,(accountant) | (gamecontroller) | (wiiremote),accountant | wiiremote | gamecontroller,0.4907,0.3591,0.7746,330,919,426,107062,96,919,0.9991041266
glove,4128,obj,F1,(bat & helmet) | (bat & trouser) | (helmet & ski) | (helmet & snow) | (helmet & trouser) | (ski & trouser) | (snow & trouser),(trouser | helmet) & (ski | trouser | snow | bat) & (ski | snow | bat | helmet),0.4904,0.4357,0.5608,2315,5313,4128,88519,675,18883,0.9924322264
track,991,obj,F1,(airplane & airport) | (airplane & engine) | (airplane & tarmacadam) | (airport & engine) | (cockpit & tarmacadam),(airport & engine) | (airport & airplane) | (cockpit & tarmacadam) | (engine & airplane) | (airplane & tarmacadam),0.4895,0.3859,0.669,663,1718,991,103286,107,4684,0.9989651137
fireengine,120,obj,F1,(firehose) | (fireman) | (firestation) | (firetruck),firetruck | fireman | firestation | firehose,0.4878,0.4762,0.5,60,126,120,107891,60,126,0.9994441923
hand,19075,obj,F1,(hair & man) | (hair & shirt) | (hair & wear) | (have & man) | (have & shirt) | (have & wear),(have | hair) & (shirt | man | wear),0.4877,0.379,0.6836,13040,34405,19075,30096,1176,76805,0.9623944743
horn,1907,obj,F1,(cow & mane) | (cow & neck) | (giraffe & mane) | (giraffe & neck) | (giraffe & topographicpoint),(cow | giraffe) & (topographicpoint | neck | mane) & (giraffe | neck | mane),0.4847,0.4655,0.5055,964,2071,1907,96698,416,10963,0.9957163746
fork,2148,obj,F1,(knife & napkin) | (knife & plate) | (napkin & plate) | (plate & spoon),(knife | plate) & (napkin | plate) & (knife | spoon | napkin),0.4839,0.4292,0.5545,1191,2775,2148,97605,198,10274,0.9979755222
toothbrush,505,obj,F1,(bristle & brush) | (bristle & soap) | (bristle & tooth) | (bristle & toothpaste) | (brush & tooth) | (brush & toothpaste) | (soap & tooth) | (soap & toothpaste) | (tooth & toothpaste),(tooth | bristle | toothpaste) & (soap | brush | tooth | bristle) & (soap | brush | tooth | toothpaste) & (soap | brush | bristle | toothpaste),0.483,0.7672,0.3525,178,232,505,105381,147,2549,0.9986070048
airport,681,obj,F1,(airplane & tarmacadam) | (airplane & track) | (cockpit & tarmacadam) | (cockpit & track),(tarmacadam | track) & (cockpit | airplane),0.4829,0.383,0.6535,445,1162,681,104321,104,3652,0.9990040699
oxygen,232,obj,F1,(nitrogen & second) | (nitrogen & thyroxine) | (phosphorus & radius) | (phosphorus & thyroxine) | (radius & thyroxine) | (second & thyroxine),(phosphorus & radius) | (phosphorus & thyroxine) | (radius & thyroxine) | (second & thyroxine) | (second & nitrogen) | (thyroxine & nitrogen),0.4828,0.5632,0.4224,98,174,232,106803,72,1202,0.9993263158
cockpit,921,obj,F1,(airplane & landinggear) | (airplane & propeller) | (airplane & wing) | (jet & landinggear) | (jet & wing) | (landinggear & wing) | (propeller & wing),(jet | airplane | wing) & (propeller | wing | landinggear) & (airplane | wing | landinggear) & (jet | propeller | airplane | landinggear),0.4818,0.3322,0.8762,807,2429,921,103572,22,4483,0.9997876325
woman,18338,obj,F1,(hair) | (shirt) | (wear),wear | shirt | hair,0.4809,0.3425,0.8073,14804,43227,18338,61316,3534,43227,0.9455050116
clock,4183,obj,F1,(building & clocktower) | (building & romannumeral) | (building & tower) | (clocktower & numeral) | (clocktower & romannumeral) | (clocktower & tower) | (numeral & romannumeral) | (numeral & tower) | (romannumeral & tower),(clocktower | tower | romannumeral) & (clocktower | tower | building | numeral) & (clocktower | building | romannumeral | numeral) & (tower | building | romannumeral | numeral),0.4806,0.6811,0.3713,1553,2280,4183,80344,1206,26527,0.9852115267
tail,8501,obj,F1,(airplane & grass) | (airplane & wing) | (ear & leg) | (ear & wing) | (grass & leg) | (grass & wing) | (leg & wing),(leg | grass | wing) & (leg | airplane | wing) & (ear | grass | wing) & (leg | ear | grass | airplane),0.4803,0.4399,0.5289,4496,10221,8501,70368,1117,36592,0.9843743443
salt,272,obj,F1,(pepper & peppershaker) | (pepper & shaker) | (pepper & sugar) | (peppershaker & shaker) | (peppershaker & sugar) | (saltshaker & shaker) | (shaker & sugar),(pepper | peppershaker | shaker) & (pepper | sugar | shaker) & (peppershaker | sugar | shaker) & (pepper | peppershaker | sugar | saltshaker),0.48,0.5616,0.4191,114,203,272,106409,56,1612,0.9994740055
uniform,1876,obj,F1,(baseball & batter) | (baseball & catcher) | (baseball & player) | (bat & batter) | (bat & catcher) | (bat & player) | (batter & catcher) | (batter & player) | (catcher & player),(player | catcher | batter) & (player | baseball | catcher | bat) & (player | baseball | batter | bat) & (baseball | catcher | batter | bat),0.48,0.4745,0.4856,911,1920,1876,102845,626,4606,0.9939499957
pole,16913,obj,F1,(building & metallic) | (building & sign) | (building & sky) | (metallic & sign) | (metallic & sky) | (metallic & tree) | (sign & sky) | (sign & tree),(metallic | sign | building) & (metallic | sign | sky) & (metallic | tree | building | sky) & (tree | sign | building | sky),0.4795,0.4128,0.5719,9672,23431,16913,43616,1817,62644,0.9600070433
egg,547,obj,F1,(boiled) | (breakfast) | (eggyolk) | (scrambled),eggyolk | breakfast | boiled | scrambled,0.4788,0.6411,0.3821,209,326,547,107413,338,326,0.9968631382
toilettissue,656,obj,F1,(axialrotation & bathroom) | (axialrotation & tissue) | (axialrotation & toilet) | (tissue & toilet),(axialrotation | toilet) & (axialrotation | tissue) & (bathroom | toilet | tissue),0.4788,0.5846,0.4055,266,455,656,104480,32,3565,0.9996938151
yellow,30389,attr,F1,(along & blue) | (along & red) | (black & blue) | (black & red) | (blue & red) | (red & white),(red | blue) & (red | along | black) & (white | along | blue | black),0.4786,0.3466,0.7733,23501,67812,30389,4773,219,103085,0.9561298077
tile,4043,obj,F1,(bathroom & floor) | (bathroom & sink) | (bathroom & tiled) | (bathroom & toilet) | (floor & sink) | (floor & tiled) | (floor & toilet) | (sink & tiled) | (sink & toilet) | (tiled & toilet),(toilet & bathroom) | (toilet & sink) | (toilet & tiled) | (toilet & floor) | (bathroom & sink) | (bathroom & tiled) | (bathroom & floor) | (sink & tiled) | (sink & floor) | (tiled & floor),0.4782,0.4996,0.4586,1854,3711,4043,93427,1011,13639,0.9892945636
vegetable,1656,obj,F1,(broccoli) | (carrot) | (onion),broccoli | onion | carrot,0.4764,0.4082,0.5719,947,2320,1656,105048,709,2320,0.993295952
bear,2204,obj,F1,(stuffed) | (teddy),teddy | stuffed,0.4754,0.5788,0.4034,889,1536,2204,105226,1315,1536,0.9876573338
shower,568,obj,F1,(bathroom & bathtub) | (bathroom & showercurtain) | (bathroom & showerhead) | (bathtub & showercurtain) | (bathtub & showerhead) | (showercurtain & showerhead) | (showerhead & toilet),(bathtub | showercurtain | showerhead) & (bathtub | bathroom | showerhead) & (showercurtain | bathroom | showerhead) & (bathtub | showercurtain | bathroom | toilet),0.4754,0.417,0.5528,314,753,568,104776,30,3271,0.9997137568
road,9387,obj,F1,(car & line) | (car & sidewalk) | (car & sign) | (car & street) | (line & sidewalk) | (line & street) | (sidewalk & street) | (sign & street),(car | street | line) & (car | street | sidewalk) & (car | sign | line | sidewalk) & (sign | street | line | sidewalk),0.4746,0.424,0.5388,5058,11929,9387,72697,1725,33655,0.97682137
wine,1061,obj,F1,(winebottle) | (wineglass),wineglass | winebottle,0.4735,0.573,0.4034,428,747,1061,106697,633,747,0.9941023013
melted,588,attr,F1,(burned & cheese) | (cheese & crust),cheese & (crust | burned),0.4734,0.423,0.5374,316,747,588,105566,46,2465,0.9995644434
skateboarder,970,obj,F1,(ramp & skate) | (ramp & skateboard) | (skate & skateboard) | (skateboard & skater) | (skateboard & trick),(skateboard | skate) & (skateboard | ramp) & (trick | skater | skate | ramp),0.471,0.4082,0.5567,540,1323,970,104420,39,3618,0.9996266478
bun,911,obj,F1,(hotdog) | (mustard),mustard | hotdog,0.4693,0.5708,0.3985,363,636,911,106893,548,636,0.9948995263
goggles,1395,obj,F1,(ski & skier) | (ski & skipole) | (ski & snow) | (ski & snowboard) | (skier & skipole) | (skier & snow) | (skier & snowboard) | (snow & snowboard),(ski | skier | snow) & (ski | skier | snowboard) & (skipole | ski | snow | snowboard) & (skipole | skier | snow | snowboard),0.4689,0.3296,0.8122,1133,3438,1395,102154,164,5759,0.998397154
wheel,9501,obj,F1,(bicycle) | (skateboard) | (tire),tire | bicycle | skateboard,0.4664,0.4358,0.5016,4766,10936,9501,92406,4735,10936,0.9512564211
shaker,288,obj,F1,(napkin & salt) | (pepper & peppershaker) | (pepper & salt) | (pepper & saltshaker) | (salt & saltshaker),(pepper | salt) & (pepper | napkin | saltshaker) & (peppershaker | saltshaker | salt),0.466,0.5286,0.4167,120,227,288,104931,64,3082,0.9993904472
helmet,5871,obj,F1,(bat) | (catcher) | (glove),glove | bat | catcher,0.4659,0.4936,0.4412,2590,5247,5871,99549,3281,5247,0.968092969
cocoa,792,attr,F1,(chocolate) | (frost) | (frosting),chocolate | frost | frosting,0.4636,0.3921,0.5669,449,1145,792,106589,343,1145,0.996792354
boat,3050,obj,F1,(calm & dock) | (calm & shore) | (calm & water) | (dock & ship) | (dock & shore) | (dock & water) | (ship & shore) | (ship & water) | (shore & water),(shore | dock | water) & (shore | dock | ship | calm) & (shore | ship | water | calm) & (dock | ship | water | calm),0.4622,0.4242,0.5075,1548,3649,3050,94918,376,12783,0.9960543161
passengercar,412,obj,F1,(buggy & horse) | (buggy & wagon) | (horse & pull) | (horse & wagon),(horse | buggy) & (horse | wagon) & (buggy | wagon | pull),0.4615,0.5316,0.4078,168,316,412,104047,162,3868,0.9984454318
wooden,18193,attr,F1,(brown & table) | (brown & wall) | (brown & wood) | (table & wall) | (table & wood) | (wall & wood) | (white & wood),(wall | brown | wood) & (wall | table | wood) & (brown | table | wood) & (white | wall | brown | table),0.4607,0.3994,0.5443,9902,24791,18193,12126,604,95347,0.9525530244
food,4479,obj,F1,(bowl & fork) | (bowl & meat) | (bowl & plate) | (fork & meat) | (fork & plate) | (meat & plate) | (meat & table) | (plate & table),(bowl | meat | plate) & (meat | fork | plate) & (bowl | table | meat | fork) & (bowl | table | fork | plate),0.4591,0.4054,0.5294,2371,5849,4479,86845,952,20280,0.9891568049
vase,2054,obj,F1,(flower & glass) | (flower & petal) | (flower & table) | (glass & petal) | (petal & root),(flower | petal) & (glass | flower | root) & (glass | petal | table),0.459,0.4326,0.4888,1004,2321,2054,82776,230,25071,0.997229116
mouth,5667,obj,F1,(ear & eye) | (eye & nose) | (head & nose),(eye & nose) | (eye & ear) | (nose & head),0.4582,0.3573,0.6386,3619,10130,5667,76890,704,30483,0.9909271335
windshield,3350,obj,F1,(headlight) | (wiper),headlight | wiper,0.4581,0.4136,0.5134,1720,4159,3350,102288,1630,4159,0.9843145557
fly,3273,attr,F1,(kite) | (wing),wing | kite,0.4579,0.3756,0.5863,1919,5109,3273,101614,1354,5109,0.9868502836
ballplayer,698,obj,F1,(ballfield & baseball) | (ballfield & batter) | (ballfield & catcher) | (ballfield & umpire) | (baseball & batter) | (baseball & umpire),(baseball | ballfield) & (umpire | batter | ballfield) & (baseball | umpire | catcher | batter),0.4576,0.3924,0.5487,383,976,698,105464,102,2511,0.9990337798
floor,11254,obj,F1,(chair & rug) | (chair & tile) | (chair & wall) | (chair & wooden) | (rug & tile) | (rug & wall) | (rug & wooden) | (tile & wall) | (tile & wooden) | (wall & wooden),(rug & chair) | (rug & wall) | (rug & tile) | (rug & wooden) | (chair & wall) | (chair & tile) | (chair & wooden) | (wall & tile) | (wall & wooden) | (tile & wooden),0.4575,0.4198,0.5026,5656,13473,11254,64490,2220,41367,0.9667216309
sidewalk,8028,obj,F1,(building & road) | (building & street) | (car & street) | (road & street) | (sign & street),(building | street) & (street | road) & (car | sign | building | road),0.4567,0.4,0.5321,4272,10680,8028,69935,1113,37029,0.9843345344
mane,2092,obj,F1,(giraffe) | (horse) | (zebra),horse | giraffe | zebra,0.4559,0.2965,0.9852,2061,6950,2092,101096,31,6950,0.9996934548
large,30524,attr,F1,(along & be) | (along & black) | (along & in) | (along & white) | (be & black) | (be & in) | (be & white) | (black & in),(in | along | be) & (along | black | be) & (white | in | along | black) & (white | in | black | be),0.4537,0.2984,0.9455,28861,96705,30524,3197,168,104712,0.9500742942
burner,433,obj,F1,(gas & kitchen) | (gas & oven) | (gas & stove) | (oven & stove) | (oven & stovetop) | (stove & stovetop),(gas & stove) | (gas & kitchen) | (gas & oven) | (stove & oven) | (stove & stovetop) | (oven & stovetop),0.4531,0.3536,0.6305,273,772,433,105333,21,2723,0.999800672
trouser,12698,obj,F1,(jacket & man) | (jacket & shirt) | (jacket & shoe) | (jacket & wear) | (man & shoe) | (shirt & shoe) | (shirt & wear) | (shoe & wear),(shoe | shirt | jacket) & (shoe | jacket | wear) & (shoe | shirt | man | wear) & (shirt | man | jacket | wear),0.4528,0.3334,0.7055,8958,26867,12698,58828,407,48842,0.9931290622
sheet,1242,obj,F1,(bed & blanket) | (bed & headboard) | (bed & pillow) | (headboard & pillow),(bed | headboard) & (bed | pillow) & (headboard | pillow | blanket),0.4525,0.3616,0.6047,751,2077,1242,102506,289,5282,0.9971885792
mask,678,obj,F1,(bat & catcher) | (bat & umpire) | (batter & umpire),(batter & umpire) | (bat & umpire) | (bat & catcher),0.4519,0.3602,0.6062,411,1141,678,105640,215,2222,0.9979689197
leaf,12022,obj,F1,(branch & green) | (branch & tree) | (branch & trunk) | (green & tree),(branch | green) & (branch | tree) & (green | tree | trunk),0.4517,0.3548,0.6214,7470,21056,12022,49005,735,58337,0.9852231604
mantle,212,obj,F1,(fireplace) | (mantel),fireplace | mantel,0.4494,0.3183,0.7642,162,509,212,107518,50,509,0.9995351777
ball,3659,obj,F1,(player) | (racket),player | racket,0.4484,0.3978,0.5138,1880,4726,3659,101572,1779,4726,0.9827868139
bread,1602,obj,F1,sandwich,sandwich,0.4484,0.5215,0.3933,630,1208,1602,105897,972,1208,0.9909047525
jacket,9277,obj,F1,(coat & man) | (coat & snow) | (coat & trouser) | (coat & wear) | (man & snow) | (snow & trouser) | (snow & wear),(coat | snow) & (trouser | man | coat | wear) & (trouser | man | wear | snow),0.4466,0.565,0.3692,3425,6062,9277,60353,641,47083,0.9894907696
malechild,5806,obj,F1,(child & shirt) | (child & shortpants) | (child & skateboard) | (child & young) | (shirt & skateboard) | (shirt & young) | (shortpants & young) | (skateboard & young),(skateboard | young | child) & (shirt | young | child) & (skateboard | shirt | young | shortpants) & (skateboard | shirt | child | shortpants),0.4457,0.42,0.4747,2756,6562,5806,74852,698,32527,0.9907610854
tower,2596,obj,F1,(clock & clocktower) | (clock & romannumeral) | (clock & roof) | (clock & steeple) | (roof & steeple),(steeple | clock) & (clock | roof) & (clocktower | romannumeral | steeple | roof),0.445,0.5686,0.3656,949,1669,2596,97654,963,9460,0.9902349493
telephone,3104,obj,F1,(cell) | (cellphone) | (cellulartelephone) | (talk),cellulartelephone | cellphone | cell | talk,0.4427,0.448,0.4375,1358,3031,3104,103300,1746,3031,0.9833787103
on,25707,rel,F1,(be) | (wearing),wearing | be,0.4415,0.2997,0.8379,21539,71866,25707,32043,4168,71866,0.8848968545
sofa,2451,obj,F1,(coffeetable) | (pillow),coffeetable | pillow,0.4413,0.3822,0.5218,1279,3346,2451,103559,1172,3346,0.9888094261
toothpaste,142,obj,F1,(toothbrush & toothpastetube) | (toothbrush & tube) | (toothpastetube & tube),(toothbrush & toothpastetube) | (toothbrush & tube) | (toothpastetube & tube),0.441,0.8113,0.3028,43,53,142,107132,24,921,0.9997760275
shortpants,7039,obj,F1,(play & racket) | (play & shirt) | (play & sock) | (racket & shirt) | (racket & shoe) | (racket & sock) | (shirt & sock),(shirt | racket | play) & (shirt | racket | sock) & (racket | play | sock) & (shirt | play | sock | shoe),0.4407,0.4949,0.3972,2796,5650,7039,74979,1027,32071,0.9864879088
leg,14413,obj,F1,(ear & grass) | (ear & head) | (ear & tail) | (eye & grass) | (eye & head) | (eye & tail) | (grass & head) | (grass & tail) | (head & tail),(grass | tail | head) & (grass | eye | tail | ear) & (grass | eye | ear | head) & (eye | tail | ear | head),0.4406,0.4193,0.4642,6691,15956,14413,62514,3633,41930,0.9450768742
banana,1636,obj,F1,(fruit) | (ripe),ripe | fruit,0.4399,0.407,0.4786,783,1924,1636,105300,853,1924,0.9919644287
field,7177,obj,F1,(bat) | (grass) | (grassy),grassy | grass | bat,0.4378,0.2988,0.8184,5874,19656,7177,87118,1303,19656,0.9852636817
newjersey,1294,obj,F1,(baseball & batter) | (baseball & player) | (bat & batter) | (bat & player) | (batter & catcher) | (batter & player) | (catcher & player),(player | batter) & (player | baseball | catcher | bat) & (baseball | catcher | batter | bat),0.4372,0.372,0.5301,686,1844,1294,103186,285,4606,0.997245605
key,890,obj,F1,keyboard,keyboard,0.4365,0.3194,0.6888,613,1919,890,105881,277,1919,0.9973906818
